timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793649043,110,Post Request,200,OK,Stress Test 1-12,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793650192,499,Gets all users,200,OK,Stress Test 1-13,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,499,0,378
1670793650691,109,Delete Request,200,OK,Stress Test 1-13,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793650800,108,Get by ID Request,200,OK,Stress Test 1-13,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793650908,110,Put Request,200,OK,Stress Test 1-13,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793651019,110,Post Request,200,OK,Stress Test 1-13,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793652183,520,Gets all users,200,OK,Stress Test 1-14,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,520,0,408
1670793652703,111,Delete Request,200,OK,Stress Test 1-14,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793652815,109,Get by ID Request,200,OK,Stress Test 1-14,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793652924,110,Put Request,200,OK,Stress Test 1-14,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793653035,109,Post Request,200,OK,Stress Test 1-14,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793654183,535,Gets all users,200,OK,Stress Test 1-15,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,535,0,422
1670793654718,111,Delete Request,200,OK,Stress Test 1-15,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793654829,110,Get by ID Request,200,OK,Stress Test 1-15,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793654939,109,Put Request,200,OK,Stress Test 1-15,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793655049,109,Post Request,200,OK,Stress Test 1-15,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793656184,497,Gets all users,200,OK,Stress Test 1-16,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,497,0,382
