timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793205251,108,Get by ID Request,200,OK,Endurance Test 1-10,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793205363,110,Put Request,200,OK,Endurance Test 1-10,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793205474,110,Post Request,200,OK,Endurance Test 1-10,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,110,0,0
1670793206634,492,Gets all users,200,OK,Endurance Test 1-11,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,492,0,372
1670793207126,111,Delete Request,200,OK,Endurance Test 1-11,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793207238,110,Get by ID Request,200,OK,Endurance Test 1-11,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793207348,110,Put Request,200,OK,Endurance Test 1-11,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793207458,113,Post Request,200,OK,Endurance Test 1-11,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,113,0,0
1670793208631,719,Gets all users,200,OK,Endurance Test 1-12,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,719,0,535
1670793209350,139,Delete Request,200,OK,Endurance Test 1-12,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,139,0,0
1670793209490,130,Get by ID Request,200,OK,Endurance Test 1-12,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,130,0,0
1670793209620,144,Put Request,200,OK,Endurance Test 1-12,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,144,0,0
1670793209764,112,Post Request,200,OK,Endurance Test 1-12,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,112,0,0
1670793210633,500,Gets all users,200,OK,Endurance Test 1-13,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,500,0,379
1670793211133,110,Delete Request,200,OK,Endurance Test 1-13,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,110,0,0
1670793211243,111,Get by ID Request,200,OK,Endurance Test 1-13,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793211354,109,Put Request,200,OK,Endurance Test 1-13,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
